sample_id,split,sample_date,start_day,sample_lon,sample_lat,source_file,record_index,GEOID,NAMELSAD,ALAND,AWATER,point_x_3310,point_y_3310,tract_match_method,tract_nearest_dist_m,acs_population,acs_housing_units,acs_median_home_value,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,tract_area_km2,exposure_pop_density_km2,exposure_housing_density_km2,road_nearest_dist_m,road_nearest_route_id,road_nearest_f_system,past_fire_count_5y_10km,past_fire_acres_5y_10km,days_since_fire_min_5y_10km,vulnerability_index
eval_eval_ndws64_meta_000.tfrecord_00000010,eval,2020-07-15,196.0,-120.58535,36.224564,eval_ndws64_meta_000.tfrecord.gz,10,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52552.09719093411,-199001.5201509986,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,657.2751112668308,STREET-UNNAMED_125161_P,7,10,38924.5862,2.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000011,eval,2020-07-15,196.0,-120.58535,36.188633,eval_ndws64_meta_000.tfrecord.gz,11,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52576.74781122424,-202994.10468582856,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,961.0877585274061,FRE_CO_BEAR CANYON RD_P,7,12,38940.86916,2.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000012,eval,2020-07-15,196.0,-120.531456,36.197613,eval_ndws64_meta_000.tfrecord.gz,12,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47730.392260969405,-202024.77892986592,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,252.76314386106688,STREET-UNNAMED_124099_P,7,9,38729.23406,2.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000013,eval,2020-07-16,197.0,-120.567383,36.188633,eval_ndws64_meta_000.tfrecord.gz,13,06019007903,Census Tract 79.03,1823994219.0,976972.0,-50962.952693740845,-203003.9155004281,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,454.7868163022246,FRE_CO_BEAR CANYON RD_P,7,12,38940.86916,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000014,eval,2020-07-16,197.0,-120.522469,36.089817,eval_ndws64_meta_000.tfrecord.gz,14,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46989.27988987455,-214007.01505440197,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,140.40801893175245,STREET-UNNAMED_107003_P,7,11,52369.130860000005,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000015,eval,2020-07-16,197.0,-120.594337,36.197613,eval_ndws64_meta_000.tfrecord.gz,15,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53377.70372228317,-201991.2493599439,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,804.2570677527522,FRE_CO_BEAR CANYON RD_P,7,10,38791.35766,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000016,eval,2020-07-16,197.0,-120.522469,36.107784,eval_ndws64_meta_000.tfrecord.gz,16,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46978.278297623765,-212010.6588662858,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,64.72955909932999,FRE_CO_COALINGA MINERAL SPRINGS RD_P,7,11,52369.130860000005,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000017,eval,2020-07-16,197.0,-120.540436,36.206596,eval_ndws64_meta_000.tfrecord.gz,17,06019007903,Census Tract 79.03,1823994219.0,976972.0,-48531.19301110921,-201022.04534723377,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,208.89030659852492,STREET-UNNAMED_124099_P,7,8,38725.2476,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000018,eval,2020-07-16,197.0,-120.58535,36.224564,eval_ndws64_meta_000.tfrecord.gz,18,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52552.09719093411,-199001.5201509986,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,657.2751112668308,STREET-UNNAMED_125161_P,7,10,38924.5862,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000019,eval,2020-07-16,197.0,-120.531456,36.197613,eval_ndws64_meta_000.tfrecord.gz,19,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47730.392260969405,-202024.77892986592,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,252.76314386106688,STREET-UNNAMED_124099_P,7,9,38729.23406,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000020,eval,2020-07-16,197.0,-120.594337,36.224564,eval_ndws64_meta_000.tfrecord.gz,20,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53358.92995352341,-198996.50044227624,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,49.39670756692618,STREET-UNNAMED_125161_P,7,9,37362.926199999994,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000021,eval,2020-07-16,197.0,-120.558403,36.224564,eval_ndws64_meta_000.tfrecord.gz,21,06019007903,Census Tract 79.03,1823994219.0,976972.0,-50132.85299018622,-199016.1129908785,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,672.1002117358394,FRE_CO_LOS GATOS CREEK RD_P,6,6,38526.8486,3.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000022,eval,2020-07-17,198.0,-120.621284,36.224564,eval_ndws64_meta_000.tfrecord.gz,22,06019007903,Census Tract 79.03,1823994219.0,976972.0,-55778.168449577366,-198980.99066991825,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,161.40842719608872,FRE_CO_BEAR CANYON RD_P,7,8,37225.7112,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000023,eval,2020-07-17,198.0,-120.567383,36.188633,eval_ndws64_meta_000.tfrecord.gz,23,06019007903,Census Tract 79.03,1823994219.0,976972.0,-50962.952693740845,-203003.9155004281,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,454.7868163022246,FRE_CO_BEAR CANYON RD_P,7,12,38940.86916,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000024,eval,2020-07-17,198.0,-120.594337,36.206596,eval_ndws64_meta_000.tfrecord.gz,24,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53371.4462917033,-200993.0782576874,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,473.08333505127564,FRE_CO_BEAR CANYON RD_P,7,10,38924.5862,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000025,eval,2020-07-17,198.0,-120.603317,36.242531,eval_ndws64_meta_000.tfrecord.gz,25,06019007903,Census Tract 79.03,1823994219.0,976972.0,-54152.42893908459,-196994.9250717685,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,306.5402195573365,FRE_CO_LOS GATOS CREEK RD_P,6,6,36887.3292,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000026,eval,2020-07-17,198.0,-120.495522,36.188633,eval_ndws64_meta_000.tfrecord.gz,26,06019007903,Census Tract 79.03,1823994219.0,976972.0,-44508.38324356559,-203040.09719241224,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,309.6521927700268,FRE_CO_PARSONS RD_P,7,9,41416.9569,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000027,eval,2020-07-17,198.0,-120.594337,36.197613,eval_ndws64_meta_000.tfrecord.gz,27,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53377.70372228317,-201991.2493599439,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,804.2570677527522,FRE_CO_BEAR CANYON RD_P,7,10,38791.35766,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000028,eval,2020-07-17,198.0,-120.657219,36.206596,eval_ndws64_meta_000.tfrecord.gz,28,06053011400,Census Tract 114,3667519241.0,49218276.0,-59018.16204351575,-200955.8069084124,intersects,0.0,4455,1472,418900,0.4492,0.5085,0.2422,0.2719,0.5875,3667.519241,1.2147175535431636,0.401361220834015,51.26190824319299,STREET-UNNAMED_128076_P,7,8,30439.984080000002,4.0,0.4492
eval_eval_ndws64_meta_000.tfrecord_00000029,eval,2020-07-17,198.0,-120.522469,36.179649,eval_ndws64_meta_000.tfrecord.gz,29,06019007903,Census Tract 79.03,1823994219.0,976972.0,-46934.27273524585,-204025.3804845689,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,590.9369556683263,STREET-UNNAMED_124786_P,7,12,41632.23406,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000030,eval,2020-07-17,198.0,-120.504501,36.197613,eval_ndws64_meta_000.tfrecord.gz,30,06019007903,Census Tract 79.03,1823994219.0,976972.0,-45309.57048926315,-202038.0050195148,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,659.9674874451581,FRE_CO_PARSONS RD_P,7,7,38558.8076,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000031,eval,2020-07-17,198.0,-120.648232,36.260498,eval_ndws64_meta_000.tfrecord.gz,31,06019007903,Census Tract 79.03,1823994219.0,976972.0,-58170.19074772872,-194971.8213084624,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,1812.6179903567709,FRE_CO_LOS GATOS CREEK RD_P,6,4,30240.2105,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000032,eval,2020-07-17,198.0,-120.486534,36.188633,eval_ndws64_meta_000.tfrecord.gz,32,06019007903,Census Tract 79.03,1823994219.0,976972.0,-43701.077403527226,-203044.27839129604,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,1045.0919657209622,FRE_CO_PARSONS RD_P,7,12,41562.5921,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000033,eval,2020-07-17,198.0,-120.639252,36.242531,eval_ndws64_meta_000.tfrecord.gz,33,06019007903,Census Tract 79.03,1823994219.0,976972.0,-57377.82930649049,-196973.78857744063,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,672.6199200144961,FRE_CO_BEAR CANYON RD_P,7,7,30279.3487,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000034,eval,2020-07-17,198.0,-120.612305,36.206596,eval_ndws64_meta_000.tfrecord.gz,34,06019007903,Census Tract 79.03,1823994219.0,976972.0,-54984.9500943489,-200982.8104697936,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,1335.3960528420473,STREET-UNNAMED_128545_P,7,8,37225.7112,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000035,eval,2020-07-17,198.0,-120.621284,36.21558,eval_ndws64_meta_000.tfrecord.gz,35,06019007903,Census Tract 79.03,1823994219.0,976972.0,-55784.71037211586,-199979.2799801277,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,1029.4471545662032,FRE_CO_BEAR CANYON RD_P,7,8,37225.7112,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000036,eval,2020-07-17,198.0,-120.657219,36.197613,eval_ndws64_meta_000.tfrecord.gz,36,06053011400,Census Tract 114,3667519241.0,49218276.0,-59025.08151221294,-201953.97364086285,intersects,0.0,4455,1472,418900,0.4492,0.5085,0.2422,0.2719,0.5875,3667.519241,1.2147175535431636,0.401361220834015,47.020801372712846,STREET-UNNAMED_128076_P,7,8,30439.984080000002,4.0,0.4492
eval_eval_ndws64_meta_000.tfrecord_00000037,eval,2020-07-17,198.0,-120.57637,36.188633,eval_ndws64_meta_000.tfrecord.gz,37,06019007903,Census Tract 79.03,1823994219.0,976972.0,-51770.16485472551,-202999.0464104009,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,195.1180085678119,FRE_CO_BEAR CANYON RD_P,7,12,38940.86916,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000038,eval,2020-07-17,198.0,-120.630264,36.206596,eval_ndws64_meta_000.tfrecord.gz,38,06053011400,Census Tract 114,3667519241.0,49218276.0,-56597.64373489026,-200972.24226550944,intersects,0.0,4455,1472,418900,0.4492,0.5085,0.2422,0.2719,0.5875,3667.519241,1.2147175535431636,0.401361220834015,45.08006524747745,STREET-UNNAMED_128545_P,7,9,37236.0787,4.0,0.4492
eval_eval_ndws64_meta_000.tfrecord_00000039,eval,2020-07-17,198.0,-120.58535,36.224564,eval_ndws64_meta_000.tfrecord.gz,39,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52552.09719093411,-199001.5201509986,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,657.2751112668308,STREET-UNNAMED_125161_P,7,10,38924.5862,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000040,eval,2020-07-17,198.0,-120.58535,36.188633,eval_ndws64_meta_000.tfrecord.gz,40,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52576.74781122424,-202994.10468582856,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,961.0877585274061,FRE_CO_BEAR CANYON RD_P,7,12,38940.86916,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000041,eval,2020-07-17,198.0,-120.531456,36.197613,eval_ndws64_meta_000.tfrecord.gz,41,06019007903,Census Tract 79.03,1823994219.0,976972.0,-47730.392260969405,-202024.77892986592,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,252.76314386106688,STREET-UNNAMED_124099_P,7,9,38729.23406,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000042,eval,2020-07-17,198.0,-120.58535,36.242531,eval_ndws64_meta_000.tfrecord.gz,42,06019007903,Census Tract 79.03,1823994219.0,976972.0,-52539.77068742858,-197005.03459868903,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,403.7585987081575,FRE_CO_LOS GATOS CREEK RD_P,6,6,38526.8486,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000043,eval,2020-07-17,198.0,-120.594337,36.224564,eval_ndws64_meta_000.tfrecord.gz,43,06019007903,Census Tract 79.03,1823994219.0,976972.0,-53358.92995352341,-198996.50044227624,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,49.39670756692618,STREET-UNNAMED_125161_P,7,9,37362.9262,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000044,eval,2020-07-17,198.0,-122.049606,38.488319,eval_ndws64_meta_000.tfrecord.gz,44,06095252903,Census Tract 2529.03,227746046.0,827252.0,-178558.90630695588,54394.46896514716,intersects,0.0,4363,1859,777000,0.2455,0.2755,0.4473,0.0795,0.2355,227.746046,19.15730295488862,8.162600548507436,20.324563853877876,STREET-UNNAMED_211775_P,7,12,108074.52698000001,9.0,0.2455
eval_eval_ndws64_meta_000.tfrecord_00000045,eval,2020-07-17,198.0,-120.495522,36.197613,eval_ndws64_meta_000.tfrecord.gz,45,06019007903,Census Tract 79.03,1823994219.0,976972.0,-44503.16793432463,-202042.25795216765,intersects,0.0,6112,1069,200000,0.6893,0.8075,0.0572,0.7156,0.9083,1823.994219,3.350887813312746,0.5860764189187379,1231.2161294974555,FRE_CO_PARSONS RD_P,7,9,38686.211,4.0,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000046,eval,2020-01-17,16.0,-114.943932,35.784389,eval_ndws64_meta_000.tfrecord.gz,46,06071010300,Census Tract 103,18005085395.0,6351750.0,456323.0685724338,-235900.20111771207,nearest,42286.85915493216,3427,2022,96200,0.7179,0.7536,0.7712,0.3247,0.6475,18005.085395,0.19033511504209116,0.11230160566533653,42291.56105535262,STREET-UNNAMED_497655_P,7,0,0.0,,0.7179
eval_eval_ndws64_meta_000.tfrecord_00000047,eval,2020-01-17,16.0,-115.608688,32.658253,eval_ndws64_meta_000.tfrecord.gz,47,06025011901,Census Tract 119.01,138562389.0,0.0,412430.7003709113,-585321.265774806,intersects,0.0,2021,684,241900,0.5106,0.3182,0.7126,0.9528,0.4381,138.562389,14.585487552469957,4.936404495739461,92.58627063275895,STREET-UNNAMED_339830_P,7,0,0.0,,0.5106
eval_eval_ndws64_meta_000.tfrecord_00000048,eval,2020-01-17,16.0,-120.594337,36.628807,eval_ndws64_meta_000.tfrecord.gz,48,06019008304,Census Tract 83.04,1277309433.0,3386618.0,-53077.31103988289,-154073.29148983862,intersects,0.0,4074,993,168400,0.9665,0.9803,0.3751,0.8945,0.9941,1277.309433,3.1895168819284843,0.7774153813831578,538.6429336643937,STREET-UNNAMED_113645_P,7,2,213.35479999999998,993.0,0.9665
eval_eval_ndws64_meta_000.tfrecord_00000049,eval,2020-01-17,16.0,-115.348175,35.631676,eval_ndws64_meta_000.tfrecord.gz,49,06071010300,Census Tract 103,18005085395.0,6351750.0,420701.7059697088,-254712.4159422163,nearest,4667.52034855598,3427,2022,96200,0.7179,0.7536,0.7712,0.3247,0.6475,18005.085395,0.19033511504209116,0.11230160566533653,4739.812492648946,SHS_015._P,1,0,0.0,,0.7179
eval_eval_ndws64_meta_000.tfrecord_00000050,eval,2020-01-17,16.0,-114.952919,35.784389,eval_ndws64_meta_000.tfrecord.gz,50,06071010300,Census Tract 103,18005085395.0,6351750.0,455512.73585893976,-235943.41805426683,nearest,41725.17502053073,3427,2022,96200,0.7179,0.7536,0.7712,0.3247,0.6475,18005.085395,0.19033511504209116,0.11230160566533653,41726.089386137326,STREET-UNNAMED_497655_P,7,0,0.0,,0.7179
eval_eval_ndws64_meta_000.tfrecord_00000051,eval,2020-01-17,16.0,-120.684166,36.682705,eval_ndws64_meta_000.tfrecord.gz,51,06019008304,Census Tract 83.04,1277309433.0,3386618.0,-61056.13907960984,-148029.0355742746,intersects,0.0,4074,993,168400,0.9665,0.9803,0.3751,0.8945,0.9941,1277.309433,3.1895168819284843,0.7774153813831578,59.547119635450564,STREET-UNNAMED_116502_P,7,3,403.2458,993.0,0.9665
eval_eval_ndws64_meta_000.tfrecord_00000052,eval,2020-01-21,20.0,-119.974495,37.940346,eval_ndws64_meta_000.tfrecord.gz,52,06109003200,Census Tract 32,392402178.0,1033702.0,2238.5213502213505,-8450.53536287602,intersects,0.0,5471,2679,310900,0.5472,0.4726,0.7968,0.0411,0.6156,392.402178,13.942328322143004,6.827179231405795,233.2836178124322,TUO_CO_FOREST RTE 1N21_P,7,2,916.987,243.0,0.5472
eval_eval_ndws64_meta_000.tfrecord_00000053,eval,2020-01-21,20.0,-119.992462,37.940346,eval_ndws64_meta_000.tfrecord.gz,53,06109003200,Census Tract 32,392402178.0,1033702.0,661.5947509779419,-8450.810160865076,intersects,0.0,5471,2679,310900,0.5472,0.4726,0.7968,0.0411,0.6156,392.402178,13.942328322143004,6.827179231405795,284.52663880437507,TUO_CO_FOREST RTE 1N21_P,7,2,916.987,243.0,0.5472
eval_eval_ndws64_meta_000.tfrecord_00000054,eval,2020-02-19,49.0,-122.067574,39.683079,eval_ndws64_meta_000.tfrecord.gz,54,06021010501,Census Tract 105.01,159069559.0,4132353.0,-177228.48246599198,187181.58404232797,intersects,0.0,3798,1381,259500,0.7334,0.7783,0.8609,0.6102,0.4468,159.069559,23.87634707656416,8.68173652257375,300.28366174805143,GLE_CO_ROAD V_P,7,0,0.0,,0.7334
eval_eval_ndws64_meta_000.tfrecord_00000055,eval,2020-02-19,49.0,-119.49839,35.281334,eval_ndws64_meta_000.tfrecord.gz,55,06029003304,Census Tract 33.04,1600690598.0,6934593.0,45588.47115509926,-303827.20859326003,intersects,0.0,2871,843,133700,0.7556,0.7674,0.6267,0.3247,0.8297,1600.690598,1.7936008392797471,0.5266476863506885,64.10101349876605,KER_CO_SKYLINE RD_P,7,6,132.97403,632.0,0.7556
eval_eval_ndws64_meta_000.tfrecord_00000056,eval,2020-02-19,49.0,-122.714363,38.937477,eval_ndws64_meta_000.tfrecord.gz,56,06033000901,Census Tract 9.01,41948909.0,8249644.0,-235028.57150946985,105754.88987987582,intersects,0.0,3162,1715,219900,0.4162,0.4222,0.3205,0.2504,0.5676,41.948909,75.37740731230936,40.883065635866714,218.92874363010344,STREET-UNNAMED_230131_P,7,8,82430.9048,165.0,0.4162
eval_eval_ndws64_meta_000.tfrecord_00000057,eval,2020-02-19,49.0,-121.834007,37.068981,eval_ndws64_meta_000.tfrecord.gz,57,06087121000,Census Tract 1210,74329438.0,0.0,-162830.63405671393,-103739.85763730248,intersects,0.0,3433,1417,1137400,0.0258,0.0515,0.0634,0.0187,0.1515,74.329438,46.186276828838665,19.06377927948278,132.62345847212507,SCR_CO_HIGHLAND WAY_P,5,1,4474.12,1241.0,0.0258
